name,country,rank,event,male_offspring,female_offspring,source,comment,result_source
Haimar Zubeldia,Spain,16,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Christian Vande Velde,United States,17,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Ryder Hesjedal,Canada,18,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Peter Velits,Slovenia,19,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Jelle Vanendert,Belgium,20,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Rob Ruijgh,Netherlands,21,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html
Bradley Wiggins,Great Britain,1,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Chris Froome,Great Britain,2,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Vincenzo Nibali,Italy,3,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Jurgen Van den Broeck,Belgium,4,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Tejay van Garderen,United States,5,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Haimar Zubeldia,Spain,6,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Cadel Evans,Australia ,7,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Pierre Rolland,France,8,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Janez Brajkovic,Slovenia,9,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Thibaut Pinot,France,10,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Andreas Kloden,Germany,11,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Nicolas Roche,Ireland,12,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Chris Horner,United States,13,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Chris Anker Sorensen,Denmark,14,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Denis Menchov,Russia,15,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Maxime Monfort,Belgium,16,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Egoi Martinez,Spain,17,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Rui Costa,Portugal,18,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Eduard Vorganov,Russia,19,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Alejandro Valverde,Spain,20,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France
Jerome Coppel,France,21,tour_de_france_2012,,,,,"
https://en.wikipedia.org/wiki/2012_Tour_de_France"
