name,country,result,event,male_offspring,female_offspring,source,comment,result_source,,,rank
Levi Leipheimer,United States,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,8
Roberto Heras,Spain,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,9
Carlos Sastre,Spain,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,10
Ivan Basso,Italy,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,11
Michael Boogerd,Netherlands,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,12
David Monoutie,France,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,13
Massimiliano Lelli,Italy,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,14
Tyler Hamilton,United States,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,15
Richard Virenque,France,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,16
Stephane Goubert,France,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,17
Unia Osa,Spain,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,18
Nicolas Vogondy,France,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,19
Nicki Sorensen,Denmark,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,20
Andrei Kivilev,Kazakhstan,NA,tour_de_france_2002,,,,,https://en.wikipedia.org/wiki/2002_Tour_de_France,,,21
Lance Armstrong,United States,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,1
Jan Ullrich,Germany,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,2
Alexander Vinokourov,Kazakhstan,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,3
Tyler Hamilton,United States,NA,tour_de_france_2003,,,,,,,,4
Spain,Spain,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,5
Iban Mayo,Spain,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,6
Ivan Basso,Italy,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,7
Christophe Moreau,France,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,8
Carlos Sastre,Spain,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,9
Francisco Mancebo,Spain,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,10
Denis Menchov,Russia,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,11
Georg Totschnig,Austria,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,12
Peter Luttenberger,Austria,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,13
Manuel Beltran,Spain,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,14
Massimiliano Lelli,Italy,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,15
Richard Virenque,France,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,16
Jorg Jaksche,Germany,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,17
Roberto Laiseka,Spain,NA,tour_de_france_2003,,,,,https://en.wikipedia.org/wiki/2003_Tour_de_France,,,18
