name,country,result,event,male_offspring,female_offspring,source,comment,result_source,,,rank
Alexander Vinokourov,Kazakhstan,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,16
Thomas Lovkvist,Sweden,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,17
Keven De Weert,Belgium,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,18
John Gadret,France,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,19
Carlos Sastre,Spain,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,20
Daniel Moreno,Spain,NA,tour_de_france_2010,,,,,https://en.wikipedia.org/wiki/2010_Tour_de_France,,,21
Cadel Evans,Australia ,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,1
Andy Schleck,Luxemborg,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,2
Frank Schleck,Luxemborg,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,3
Thomas Voeckler,France,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,4
Alberto Contado,Spain,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,5
Samuel Sanchez,Spain,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,6
Damiano Cunego,Italy,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,7
Ivan Basso,Spain,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,8
Tom Danielson,United States,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,9
Jean Christophe Peraud,France,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,10
Pierre Rolland,France,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,11
Rein Taaramae,Estonia,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,12
Keven De Weert,Belgium,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,13
Jerome Coppel,France,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,14
Arnold Jeannesson,France,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,15
Haimar Zubeldia,Spain,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,16
Christian Vande Velde,United States,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,17
Ryder Hesjedal,Canada,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,18
Peter Velits,Slovenia,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,19
Jelle Vanendert,Belgium,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,20
Rob Ruijgh,Netherlands,NA,tour_de_france_2011,,,,,http://bikeraceinfo.com/tdf/tdf2011.html,,,21
Bradley Wiggins,Great Britain,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,1
Chris Froome,Great Britain,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,2
Vincenzo Nibali,Italy,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,3
Jurgen Van den Broeck,Belgium,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,4
Tejay van Garderen,United States,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,5
Haimar Zubeldia,Spain,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,6
Cadel Evans,Australia ,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,7
Pierre Rolland,France,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,8
Janez Brajkovic,Slovenia,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,9
Thibaut Pinot,France,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,10
Andreas Kloden,Germany,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,11
Nicolas Roche,Ireland,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,12
Chris Horner,United States,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,13
Chris Anker Sorensen,Denmark,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,14
Denis Menchov,Russia,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,15
Maxime Monfort,Belgium,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,16
Egoi Martinez,Spain,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,17
Rui Costa,Portugal,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,18
Eduard Vorganov,Russia,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,19
Alejandro Valverde,Spain,NA,tour_de_france_2012,,,,,https://en.wikipedia.org/wiki/2012_Tour_de_France,,,20
Jerome Coppel,France,NA,tour_de_france_2012,,,,,"
https://en.wikipedia.org/wiki/2012_Tour_de_France",,,21
